row_i,question_text,answer_yes_no,gpt_yes_no,manual_yes_no
63305,WHERE?,no,no,no
73794,"IN OCTOBER, ACTUALLY OCTOBER OF 1993?",yes,no,yes
80631,SO YOU WOULD HAVE BEEN THEN HIS GIRL FRIEND 2 28 AROUND JANUARY 31ST OF 1992?,yes,no,yes
80291,"AT ANY TIME WHEN MR. COOKSEY CONTACTED YOU THE OTHER FIVE PREVIOUS TIMES, DID HE EVER HAVE A CASE PENDING AGAINST HIM?",no,no,yes
129049,HOW DID YOU KNOW THAT THESE TWO OTHER DAUGHTERS EXIST?,no,no,no
33876,ARE YOU ABLE TO SEE HIM?,yes,yes,yes
50086,"WHEN YOU MADE YOUR RIGHT TURN ON ROSECRANS, WERE YOU GOING TOWARD THE CITY OF - DO YOU KNOW WHERE THE CITY OF GARDENA IS?",yes,no,yes
39824,"AND THE  SO MR. THOMAS HAD THE GUN IN THE RIGHT HAND, AND CARLOS WAS HIT ON THE LEFT SIDE OF THE HEAD?",yes,no,yes
58154,DID THEY HAVE IT UP OVER THEIR SHOULDERS?,yes,yes,yes
47104,DID HE EVER MENTION THE NAME RENZI?,yes,yes,yes
75110,THIS IS THE TIME AFTER YOU MET HIM?,yes,no,yes
128775,"NOW, THE DEFENDANT, HE WASN'T WORKING, WAS HE?",no,yes,yes
42775,"WHAT I'M TALKING ABOUT IS, DID SHE IMMEDIATELY GO TO ONE OR DID SHE LOOK AT THEM ALL FOR AWHILE OR DID SHE VACILLATE OR WHAT IF YOU CAN RECALL?",no,no,no
132028,DID SHE HAVE GRAND KIDS?,no,yes,yes
66290,"WHEN YOU GAVE THAT TESTIMONY AND YOU SAID THAT YOU DID NOT REMEMBER, WAS THAT INACCURATE OR WAS THAT ACCURATE?",no,no,yes
43425,NOW DID YOU SEE DETECTIVE TERRELL FIND A CASING OUTSIDE OF THE APARTMENT WHICH IS DEPICTED IN PHOTOGRAPH F?,no,yes,yes
95931,"WERE YOU THE CHIEF OF POLICE ON FEBRUARY 22, 1993 AT THE TIME THAT OFFICERS MACDONALD AND BURRELL WERE SHOT AND KILLED?",yes,yes,yes
50966,BODY STYLE THE SAME?,yes,yes,yes
90683,"YOU THOUGHT ABOUT THAT ONE, DIDN'T YOU?",no,no,yes
53161,"THE AERIAL MAP THAT I AM NOW SHOWING YOU, DOES THAT MORE ACCURATELY REFLECT TO YOU THE DISTANCE BETWEEN THE AREA WHERE YOU SAW THE SHOOTING OCCURRING AND THE INTERSECTION OF ROSECRANS AND DWIGHT MORE SO THAN THIS MODEL DOES?",yes,no,yes
127833,WHO ELSE WAS THERE?,no,no,no
42107,"NOW, BASED ON YOUR INTERVIEWS WITH ALL OF THE WITNESSES, HOW MANY -- HOW MANY SHOTS WERE YOU -- HOW MANY SHOTS WERE YOU INVESTIGATING?",no,no,no
90337,WHAT ABOUT REGIS THOMAS?,no,no,no
55922,FIRST TIME?,yes,no,yes
75423,YOU'RE NOT SURE?,no,no,yes
58299,"BY MR. JAFFE: DID YOU HEAR THAT, DE'MORYEA?",yes,yes,yes
84991,AND WERE YOU AT THE FRONT OF THE LOCATION AT 27 THE TIME?,yes,yes,yes
132020,HOW IS THAT?,no,no,no
104959,"IN ADDITION TO YOUR TRAINING AND EXPERIENCE AS A DOCTOR AND A PSYCHIATRIST, DO YOU HAVE -- DO YOU HOLD ANY OTHER DEGREES?",no,yes,yes
39642,"WELL, DIDN'T YOU ABOUT 25 TO 30 MINUTES AFTER THE SHOOTING THAT YOU RAN INTO REGIS THOMAS AND SOME OTHER PERSON ON THE STREET?",no,no,yes
33336,WAS LIKE IN AND OUT WHAT DO YOU MEAN? HE LIVED THERE SOMETIMES?,no,no,yes
33691,WHO IS THAT PERSON?,no,no,no
77675,"ONCE THE LORCIN FIREARM WAS RETRIEVED FROM THE VEHICLE, DID YOU TALK TO YOUR PARTNER OFFICER ABOUT WHERE HE RECOVERED IT?",yes,no,yes
100547,"BY MR. ARNOLD: DOCTOR, ARE YOU ABLE TO SEE PEOPLE'S 91 FOR IDENTIFICATION?",yes,yes,yes
35381,AND IS THAT THE REASON WHY YOU USE THE NAME REGIS?,yes,no,yes
73160,DO YOU KNOW WHETHER OFFICER MACDONALD SMOKED  AT ALL?,no,yes,yes
131290,WAS HE HAVING A DIFFICULT TIME IN SCHOOL?,no,yes,yes
102532,THAT ONE PISTOL FIRED ALL NINE?,no,yes,yes
73903,YOU HAD OTHER CUSTOMERS?,yes,no,yes
47405,WHAT WEAPON IS HIGHLIGHTED THERE ON THE LOGBOOK?,no,no,no
45585,SO A PERSON COULD BE IMMEDIATELY UNCONSCIOUS AS A RESULT OF THIS TYPE OF A BULLET WOUND AND YET STILL BE LIVING; RIGHT?,yes,yes,yes
42941,"CAN YOU EXPLAIN WHY THERE IS NO MENTION ON THAT DATE, WHY THERE IS NO INDICATION THAT BERTRAND DICKSON WAS CONTACTED ON THAT DAY ON JANUARY THE 31ST OR FEBRUARY THE 1ST?",no,no,no
